Designator,Mid X,Mid Y,Rotation,Layer
CIN1,130.302,-89.293,270.0,top
COUT1,138.43,-89.154,270.0,top
D1,126.492,-89.154,180.0,top
J2,117.328,-95.25,270.0,top
U1,134.367,-89.084,0.0,top
U2,133.35,-96.774,90.0,top
U3,136.271,-81.026,180.0,top
U4,119.634,-85.344,180.0,top
